Person_ID,AssessmentID,Case_ID,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,AssessmentReason,LegalStatus,MaritalStatus,DisplayText,DecileScore,ScoreText
50883,57219,51998,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
16609,57216,51995,PRETRIAL,Male,Asian,Intake,Pretrial,Single,Risk of Recidivism,8,High
50904,57250,52023,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50924,57284,52054,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50917,57271,52043,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
25699,57276,24869,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
50921,57279,52049,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50914,57263,52035,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
40929,44410,40579,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,5,Medium
50933,57300,52067,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,9,High
50920,57277,52048,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,4,Low
50923,57282,52052,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
10568,57273,52045,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
48501,57261,52033,PRETRIAL,Male,Caucasian,Intake,Pretrial,Divorced,Risk of Recidivism,7,Medium
3060,57266,52038,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,3,Low
18644,57268,52040,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
50842,57296,51948,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
48820,57283,52053,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
40027,57262,52034,PRETRIAL,Male,Caucasian,Intake,Pretrial,Divorced,Risk of Recidivism,4,Low
43496,57280,52050,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
30818,57275,52047,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
50929,57293,52061,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50916,57270,52042,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50918,57272,52044,PRETRIAL,Male,African-American,Intake,Pretrial,Divorced,Risk of Recidivism,9,High
34054,57278,33188,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50925,57285,52055,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
6225,57265,52037,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50915,57269,52041,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,3,Low
6431,57267,52039,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
50919,57274,52046,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50922,57281,52051,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50948,57320,52085,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
41515,57311,41222,PRETRIAL,Male,African-American,Intake,Pretrial,Significant Other,Risk of Recidivism,10,High
50945,57316,52082,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
50943,57314,52080,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,8,High
50939,57309,52076,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
50940,57310,52077,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50946,57317,52083,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
50938,57308,52075,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50947,57319,52084,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50941,57312,52078,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50944,57315,52081,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
50949,57321,52086,PRETRIAL,Male,Caucasian,Intake,Pretrial,Divorced,Risk of Recidivism,1,Low
50942,57313,52079,PRETRIAL,Female,Other,Intake,Pretrial,Married,Risk of Recidivism,1,Low
8812,57318,48865,PRETRIAL,Male,African-American,Intake,Pretrial,Significant Other,Risk of Recidivism,10,High
50962,57339,52101,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50953,57326,52091,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
50955,57328,52093,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
15195,57334,47385,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,9,High
50959,57336,52098,PRETRIAL,Male,Hispanic,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50956,57329,52094,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,10,High
50958,57333,52097,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50951,57324,52089,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
8550,57331,52096,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50961,57338,52100,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
37680,57322,52087,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50957,57330,52095,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
15195,52046,47385,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,9,High
11820,57335,11337,PRETRIAL,Male,Caucasian,Intake,Pretrial,Separated,Risk of Recidivism,4,Low
50954,57327,52092,PRETRIAL,Male,Other,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50960,57337,52099,PRETRIAL,Female,African-American,Intake,Pretrial,Married,Risk of Recidivism,2,Low
50950,57323,52088,PRETRIAL,Male,Hispanic,Intake,Pretrial,Married,Risk of Recidivism,1,Low
50952,57325,52090,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
8888,57332,8421,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50967,57346,52108,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50993,57374,52134,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,3,Low
50963,57341,52103,PRETRIAL,Male,Other,Intake,Pretrial,Separated,Risk of Recidivism,1,Low
50978,57358,52118,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50981,57362,52122,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
50984,57364,52124,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50969,57348,52110,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
49128,57343,52105,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
19434,57340,52102,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,8,High
50982,57361,52121,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,3,Low
50986,57366,52126,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
50966,57345,52107,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
50974,57354,52114,PRETRIAL,Male,African-American,Intake,Pretrial,Significant Other,Risk of Recidivism,4,Low
50975,57355,52115,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50976,57357,52117,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
50989,57370,52130,PRETRIAL,Male,Hispanic,Intake,Pretrial,Married,Risk of Recidivism,4,Low
50983,57363,52123,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
50964,57342,52104,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50970,57349,52111,PRETRIAL,Female,Other,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50965,57344,52106,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
50968,57347,52109,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
50240,57352,51228,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
5754,57378,52138,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
51012,57391,52148,PRETRIAL,Male,Caucasian,Intake,Pretrial,Significant Other,Risk of Recidivism,2,Low
50994,57375,52135,PRETRIAL,Male,Caucasian,Intake,Pretrial,Widowed,Risk of Recidivism,1,Low
51001,57384,52143,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
50998,57380,52140,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,3,Low
50999,57382,52141,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,1,Low
50996,57377,52137,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
29315,57385,52144,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
50997,57379,52139,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
50995,57376,52136,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51000,57383,52142,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
8675,57381,8209,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,2,Low
51016,57395,52152,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,3,Low
51042,57432,52184,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
51053,57446,52196,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50928,57430,52060,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
51024,57409,52165,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51032,57418,52173,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
50928,57427,52060,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
45938,57434,46280,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
51035,57421,52176,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51050,57442,52193,PRETRIAL,Male,Hispanic,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51026,57413,52168,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
51028,57414,52169,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,4,Low
51025,57408,52164,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
51033,57419,52174,PRETRIAL,Male,African-American,Intake,Pretrial,Divorced,Risk of Recidivism,5,Medium
39656,57411,39197,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51030,57416,52171,PRETRIAL,Male,Hispanic,Intake,Pretrial,Married,Risk of Recidivism,7,Medium
42676,57410,52166,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
51031,57417,52172,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
7301,57445,48130,PRETRIAL,Male,African-American,Intake,Pretrial,Significant Other,Risk of Recidivism,10,High
51038,57426,52180,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,4,Low
51039,57428,52181,PRETRIAL,Female,Caucasian,Intake,Pretrial,Divorced,Risk of Recidivism,4,Low
51034,57420,52175,PRETRIAL,Male,African-American,Intake,Pretrial,Married,Risk of Recidivism,1,Low
51027,57412,52167,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,4,Low
51029,57415,52170,PRETRIAL,Male,African-American,Intake,Pretrial,Significant Other,Risk of Recidivism,3,Low
51078,57483,52230,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
24039,57462,52211,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
51076,57480,52227,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51059,57454,52204,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
51081,57488,52235,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51072,57475,52222,PRETRIAL,Female,Other,Intake,Pretrial,Married,Risk of Recidivism,2,Low
51075,57478,52225,PRETRIAL,Male,Asian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51055,57449,52199,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51067,57464,52213,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51082,57491,52238,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
51062,57457,52207,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,3,Low
23615,57472,23939,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
51057,57452,52202,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
51061,57456,52206,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,10,High
1499,57447,52197,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
51080,57487,52234,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
51063,57459,52208,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
51065,57461,52210,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
51056,57450,52200,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,4,Low
51079,57484,52231,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
46767,57458,50377,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
51066,57463,52212,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,4,Low
51084,57492,52239,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51060,57455,52205,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,4,Low
51054,57448,52198,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
5748,57451,52201,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51077,57481,52228,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
51058,57453,52203,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51064,57460,52209,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
23615,28845,23939,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
51097,57504,52250,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51113,57523,52267,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
4411,57502,52248,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
51114,57525,52269,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
25717,57532,52275,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
51104,57511,52257,PRETRIAL,Male,Asian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51100,57507,52253,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
51090,57500,52246,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
39814,57528,39377,PRETRIAL,Female,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
51106,57513,52259,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51087,57497,52243,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
51098,57505,52251,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
51109,57518,52263,PRETRIAL,Male,Caucasian,Intake,Pretrial,Divorced,Risk of Recidivism,5,Medium
51086,57496,52242,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,7,Medium
51096,57503,52249,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
51103,57510,52256,PRETRIAL,Male,Other,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51088,57498,52244,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51105,57512,52258,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
51107,57515,52261,PRETRIAL,Female,African-American,Intake,Pretrial,Separated,Risk of Recidivism,4,Low
51117,57529,52272,PRETRIAL,Male,Caucasian,Intake,Pretrial,Divorced,Risk of Recidivism,5,Medium
51101,57508,52254,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
51110,57519,52264,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,4,Low
51099,57506,52252,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
51085,57493,52240,PRETRIAL,Male,African-American,Intake,Pretrial,Significant Other,Risk of Recidivism,5,Medium
51116,57527,52271,PRETRIAL,Male,Hispanic,Intake,Pretrial,Married,Risk of Recidivism,1,Low
51089,57499,52245,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
43166,57514,52260,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,5,Medium
51102,57509,52255,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
51118,57530,52273,PRETRIAL,Female,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
51095,57501,52247,PRETRIAL,Male,Caucasian,Intake,Pretrial,Married,Risk of Recidivism,1,Low
4086,57548,52288,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
14288,57556,13674,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,10,High
51126,57543,52284,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,9,High
5285,57535,32489,PRETRIAL,Female,Caucasian,Intake,Pretrial,Divorced,Risk of Recidivism,6,Medium
51133,57554,52293,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51128,57545,52286,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,7,Medium
43756,57550,52290,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
51120,57533,52276,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51136,57559,52296,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
51138,57561,52298,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
51123,57538,52279,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,8,High
51125,57540,52281,PRETRIAL,Female,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,8,High
51131,57552,52291,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,1,Low
51124,57539,52280,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,8,High
51127,57544,52285,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,2,Low
51129,57547,52287,PRETRIAL,Male,Caucasian,Intake,Pretrial,Single,Risk of Recidivism,6,Medium
51130,57549,52289,PRETRIAL,Male,African-American,Intake,Pretrial,Single,Risk of Recidivism,3,Low
